voltage_room_id;timestamp;power_kw
VR001;2024-01-31 01:45:00+00:00;266,4684733
VR001;2024-01-31 02:00:00+00:00;260,6445543
VR001;2024-01-31 02:15:00+00:00;257,6322127
VR001;2024-01-31 02:30:00+00:00;243,8701433
VR001;2024-01-31 02:45:00+00:00;24,7240585
VR001;2024-01-31 03:00:00+00:00;246,8780043
VR001;2024-01-31 03:15:00+00:00;23,8393007
VR001;2024-01-31 03:30:00+00:00;240,6803653
VR001;2024-01-31 03:45:00+00:00;228,7995063
VR001;2024-01-31 04:00:00+00:00;233,4491447
VR001;2024-01-31 04:15:00+00:00;223,6541023
VR001;2024-01-31 04:30:00+00:00;232,8417598
VR001;2024-01-31 04:45:00+00:00;234,3798437
VR001;2024-01-31 05:00:00+00:00;250,5568348
VR001;2024-01-31 05:15:00+00:00;256,9354327
VR001;2024-01-31 05:30:00+00:00;258,9739297
VR001;2024-01-31 05:45:00+00:00;282,1633873
VR001;2024-01-31 06:00:00+00:00;300,7316777
VR001;2024-01-31 06:15:00+00:00;333,6486583
VR001;2024-01-31 06:30:00+00:00;367,8580437
VR001;2024-01-31 06:45:00+00:00;38,3746578
VR001;2024-01-31 07:00:00+00:00;407,1680973
VR001;2024-01-31 07:15:00+00:00;405,2035713
VR001;2024-01-31 07:30:00+00:00;442,7673133
VR001;2024-01-31 07:45:00+00:00;47,5709449
VR001;2024-01-31 08:00:00+00:00;504,8597987
VR001;2024-01-31 08:15:00+00:00;512,3611963
VR001;2024-01-31 08:30:00+00:00;50,5212602
VR001;2024-01-31 08:45:00+00:00;510,1240227
VR001;2024-01-31 09:00:00+00:00;501,9172783
VR001;2024-01-31 09:15:00+00:00;50,4631643
VR001;2024-01-31 09:30:00+00:00;49,6333254
VR001;2024-01-31 09:45:00+00:00;501,4154657
VR001;2024-01-31 10:00:00+00:00;52,4822454
VR001;2024-01-31 10:15:00+00:00;517,4344733
VR001;2024-01-31 10:30:00+00:00;528,7422707
VR001;2024-01-31 10:45:00+00:00;534,3117607
VR001;2024-01-31 11:00:00+00:00;55,8546718
VR001;2024-01-31 11:15:00+00:00;57,0031228
VR001;2024-01-31 11:30:00+00:00;573,2173753
VR001;2024-01-31 11:45:00+00:00;53,5920677
VR001;2024-01-31 12:00:00+00:00;559,1168867
VR001;2024-01-31 12:15:00+00:00;567,4862937
VR001;2024-01-31 12:30:00+00:00;560,0125947
VR001;2024-01-31 12:45:00+00:00;563,7112263
VR001;2024-01-31 13:00:00+00:00;559,0780637
VR001;2024-01-31 13:15:00+00:00;557,7176807
VR001;2024-01-31 13:30:00+00:00;555,1974297
VR001;2024-01-31 13:45:00+00:00;539,8881387
VR001;2024-01-31 14:00:00+00:00;573,0351547
VR001;2024-01-31 14:15:00+00:00;586,5179273
VR001;2024-01-31 14:30:00+00:00;583,9928853
VR001;2024-01-31 14:45:00+00:00;560,3688957
VR001;2024-01-31 15:00:00+00:00;54,5986687
VR001;2024-01-31 15:15:00+00:00;5,9329966
VR001;2024-01-31 15:30:00+00:00;60,2084011
VR001;2024-01-31 15:45:00+00:00;607,8039047
VR001;2024-01-31 16:00:00+00:00;627,1658803
VR001;2024-01-31 16:15:00+00:00;624,4965873
VR001;2024-01-31 16:30:00+00:00;67,0068127
VR001;2024-01-31 16:45:00+00:00;698,3315023
VR001;2024-01-31 17:00:00+00:00;688,6894643
VR001;2024-01-31 17:15:00+00:00;68,1117868
VR001;2024-01-31 17:30:00+00:00;686,8739453
VR001;2024-01-31 17:45:00+00:00;705,6891947
VR001;2024-01-31 18:00:00+00:00;66,6899059
VR001;2024-01-31 18:15:00+00:00;655,2832107
VR001;2024-01-31 18:30:00+00:00;62,4235217
VR001;2024-01-31 18:45:00+00:00;653,3632043
VR001;2024-01-31 19:00:00+00:00;642,2918773
VR001;2024-01-31 19:15:00+00:00;596,6202583
VR001;2024-01-31 19:30:00+00:00;569,2007823
VR001;2024-01-31 19:45:00+00:00;57,4989014
VR001;2024-01-31 20:00:00+00:00;54,8390724
VR001;2024-01-31 20:15:00+00:00;521,7408633
VR001;2024-01-31 20:30:00+00:00;50,1473169
VR001;2024-01-31 20:45:00+00:00;4,9289069
VR001;2024-01-31 21:00:00+00:00;484,1471433
VR001;2024-01-31 21:15:00+00:00;47,5788504
VR001;2024-01-31 21:30:00+00:00;45,1277003
VR001;2024-01-31 21:45:00+00:00;457,9506927
