"","Gebruiksdoel","Type","Hoofdadres","ID","Oppervlakte","MaaktDeelUitVan","x_coordinate","y_coordinate"
"1102","woonfunctie","Verblijfsobject","0363200000474154","0363010000987588",129,"0363100012137805",124737,487401
"1103","woonfunctie","Verblijfsobject","0363200000461872","0363010000982786",156,"0363100012085793",125038,487453
"1104","woonfunctie","Verblijfsobject","0363200000461881","0363010000982802",119,"0363100012068156",124990,487445
"1105","woonfunctie","Verblijfsobject","0363200000475463","0363010000994697",196,"0363100012098458",124967,487356
"1106","woonfunctie","Verblijfsobject","0363200000473983","0363010000993402",141,"0363100012098458",124976,487385
"1107","woonfunctie","Verblijfsobject","0363200000461745","0363010000979737",112,"0363100012155023",124954,487488
"1108","woonfunctie","Verblijfsobject","0363200000461826","0363010000981555",152,"0363100012085440",125029,487475
"1109","woonfunctie","Verblijfsobject","0363200000461655","0363010000994350",216,"0363100012066489",125150,487445
"1110","woonfunctie","Verblijfsobject","0363200000474254","0363010000987020",140,"0363100012115636",125060,487233
"1111","woonfunctie","Verblijfsobject","0363200000474247","0363010000987010",159,"0363100012115636",125127,487263
"1112","woonfunctie","Verblijfsobject","0363200000461646","0363010000984375",117,"0363100012063237",125033,487435
"1113","woonfunctie","Verblijfsobject","0363200000474117","0363010000994888",134,"0363100012082525",124896,487401
"1114","woonfunctie","Verblijfsobject","0363200000461719","0363010000959716",128,"0363100012095196",125066,487508
"1115","woonfunctie","Verblijfsobject","0363200000461868","0363010000982777",160,"0363100012114422",125056,487456
